id,name,category,supplier,dimension,baseUnit,countUnit,purchaseUnit,packChain,basePerPurchase,pricingMode,purchasePrice,rate,rateUnit,pricePerDisplay,displayUnit,eachMeasure,isStocked,isPrepLinked,offers,primaryOfferSupplier,lastInvoiceDate,anomalies
cd1d6f3f321414c979bbf728,Vinegar pure white,DRY,Sysco,VOLUME,ml,ml,case,1 case = 4 each → 1 each = 5000 ml,20000,PACK,33.48,,,1.674,L,,true,false,1,Sysco,,
c25d4c95f893948fa9f9412a,Vinegar Red Wine,DRY,Sysco,VOLUME,ml,each,case,1 case = 2 each → 1 each = 5000 ml,10000,PACK,17.02,,,1.702,L,,true,false,1,Sysco,,
c539d32c703ab4acd909ec5a,Vinegar White Wine,DRY,Sysco,VOLUME,ml,ml,case,1 case = 2 each → 1 each = 5000 ml,10000,PACK,33.82,,,3.382,L,,true,false,1,Sysco,,
c09a555449f3b4aa388672f2,Walnuts,DRY,,MASS,g,kg,each,1 each = 1 each → 1 each = 5000 g,5000,PACK,74.56,,,14.911999999999999,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
cba7ab9431b2142e3899bff5,Water,DRY,,VOLUME,ml,ml,each,1 each = 1 ml,1,PACK,0,,,0,L,,false,false,0,,,ZERO_PRICE; FLAT_CHAIN_PER_1
cmnmloj1m001hhgf043ilmblq,White Wine Cooking,DRY,Sysco,VOLUME,ml,l,case,1 case = 4 each → 1 each = 3780 ml,15120,PACK,93.16,,,6.161375661375661,L,,true,false,0,,,
cf03be3861a4144eab909720,Whole Cloves,DRY,,MASS,g,each,each,1 each = 1 each → 1 each = 375 g,375,PACK,46.66,,,124.42666666666666,kg,,true,false,0,,,DUPLICATE_CHAIN_UNITS
cmpgdl4eg0002xuwk8ce5b4ny,Whole Wheat Flour,DRY,Snow Cap,MASS,g,case,case,1 case = 1 each → 1 each = 20000 g,20000,PACK,24.54,,,1.227,kg,,true,false,0,,,
c77b91600f5e94858b27e543,Wild rice,DRY,Sysco,MASS,g,each,case,1 case = 2 each → 1 each = 2270 g,4540,PACK,110.47,,,24.33259911894273,kg,,true,false,0,,,
c5e1ca5da8094449391fc05f,Wine Red Cooking,DRY,,VOLUME,ml,l,each,1 each = 1 each → 1 each = 3780 ml,3780,PACK,26.13,,,6.912698412698412,L,,true,false,0,,,DUPLICATE_CHAIN_UNITS
c70c94e9f82f34d1aa4f6d18,Worcestershire Sauce,DRY,Sysco,VOLUME,ml,each,case,1 case = 2 each → 1 each = 3780 ml,7560,PACK,31.73,,,4.197089947089948,L,,true,false,1,Sysco,,
cmpgdmbn90004xuwkqv3zwx9k,Yeast Active Dry,DRY,Snow Cap,MASS,g,case,case,1 case = 1 each → 1 each = 907.184 g,907.184,PACK,15.09,,,16.633891250286602,kg,,true,false,1,Sysco,,
c7c06555e66224c6fb2efb96,Yuzu juice,DRY,,VOLUME,ml,ml,each,1 each = 1 each → 1 each = 1 ml,1,PACK,0,,,0,L,,true,false,0,,,ZERO_PRICE
